id,created_at,genero,edad,estado_civil,educacion,estado_votante,tema_importante_eleccion,prioridad_candidato,frecuencia_voto,cargo,postura_economica,postura_sobre_seguridad,prioridad_politica,fuente_informacion,experiencia_candidato,tendencia_ideológica,entidad_candidato,partido
11,2025-11-13T12:33:19.851905,Femenino,36–45 (votantes activos con experiencia),Casado(a),Universidad,Votante frecuente en elecciones locales,Economía y empleo,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Prevención y educación en comunidades,Protección a las mujeres y familias,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Moderada (centro político),Jalisco,PARTIDO REVOLUCIONARIO INSTITUCIONAL
12,2025-11-13T12:33:19.851910,Otro / Prefiero no decirlo,46–60 (seguimiento político frecuente),Separado(a),Secundaria,He votado pocas veces,Salud y bienestar,Empatía con la ciudadanía,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Reformas profundas al sistema de justicia,Igualdad de género y derechos humanos,Amigos y familia,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Chiapas,MORENA
13,2025-11-13T12:33:19.851915,Masculino,26–35 (adultos jóvenes con interés político),Unión libre,Universidad,Votante experimentado en elecciones federales,Ciencia y tecnología,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Inteligencia policial y análisis de datos,Medio ambiente y sustentabilidad,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Progresista (enfocado en cambio social),Coahuila,MOVIMIENTO CIUDADANO
14,2025-11-13T12:33:19.851920,Femenino,60+ (votantes experimentados de larga trayectoria),Viudo(a),Primaria,Votante experimentado en elecciones federales,Programas sociales,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Reformas profundas al sistema de justicia,Seguridad social y pensiones,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Veracruz,MORENA
15,2025-11-13T12:33:19.851925,Masculino,46–60 (seguimiento político frecuente),Casado(a),Posgrado,Votante frecuente en elecciones locales,Seguridad y justicia,Carisma y liderazgo,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Mano dura contra la delincuencia,Infraestructura y transporte,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Conservadora (valores tradicionales),Sonora,PARTIDO ACCIÓN NACIONAL
16,2025-11-13T12:33:19.851930,Otro / Prefiero no decirlo,36–45 (votantes activos con experiencia),Soltero(a),Universidad,Nunca he votado pero estoy interesado,Medio ambiente y sustentabilidad,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Prevención y educación en comunidades,Cuidado del medio ambiente,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Hidalgo,PARTIDO VERDE ECOLOGISTA DE MÉXICO
17,2025-11-13T12:33:19.851935,Femenino,18–25 (jóvenes votantes primerizos),Casado(a),Preparatoria / Bachillerato,Primera vez que voto,Equidad de género,Honestidad ante todo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Igualdad de género y derechos humanos,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Sinaloa,MORENA
18,2025-11-13T12:33:19.851940,Masculino,26–35 (adultos jóvenes con interés político),Divorciado(a),Universidad,Votante experimentado en elecciones federales,Innovación tecnológica,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Más tecnología y vigilancia inteligente,Infraestructura y transporte,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Puebla,MOVIMIENTO CIUDADANO
19,2025-11-13T12:33:19.851945,Femenino,60+ (votantes experimentados de larga trayectoria),Separado(a),Secundaria,He votado pocas veces,Seguridad y justicia,Empatía con la ciudadanía,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Mano dura contra la delincuencia,Protección a las mujeres y familias,Televisión abierta,No tengo mucho conocimiento político,Moderada (centro político),Tlaxcala,PARTIDO DEL TRABAJO
30,2025-11-13T12:33:19.852010,Masculino,26–35 (adultos jóvenes con interés político),Soltero(a),Universidad,He votado pocas veces,Innovación tecnológica,Experiencia política sólida,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Inteligencia policial y análisis de datos,Derechos digitales y privacidad,Redes sociales (TikTok, Facebook, Instagram),Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Ciudad de México,PARTIDO DIGITAL MX
31,2025-11-13T12:33:19.852015,Femenino,18–25 (jóvenes votantes primerizos),Unión libre,Preparatoria / Bachillerato,Nunca he votado pero estoy interesado,Innovación tecnológica,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Más tecnología y vigilancia inteligente,Derechos digitales y privacidad,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Jalisco,PARTIDO DIGITAL MX
32,2025-11-13T12:33:19.852020,Otro / Prefiero no decirlo,36–45 (votantes activos con experiencia),Casado(a),Posgrado,Votante frecuente en elecciones locales,Ciencia y tecnología,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Inteligencia policial y análisis de datos,Innovación tecnológica,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Nuevo León,PARTIDO DIGITAL MX
33,2025-11-13T12:33:19.852025,Masculino,46–60 (seguimiento político frecuente),Casado(a),Universidad,Votante experimentado en elecciones federales,Economía y empleo,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Mano dura contra la delincuencia,Infraestructura digital,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Baja California Sur,PARTIDO DIGITAL MX
34,2025-11-13T12:33:19.852030,Femenino,60+ (votantes experimentados de larga trayectoria),Viudo(a),Primaria,Votante experimentado en elecciones federales,Seguridad y justicia,Carisma y liderazgo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Más tecnología y vigilancia inteligente,Protección a las mujeres y familias,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Coahuila,PARTIDO DIGITAL MX
35,2025-11-13T12:33:19.852035,Masculino,26–35 (adultos jóvenes con interés político),Soltero(a),Universidad,Primera vez que voto,Medio ambiente y sustentabilidad,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Prevención y educación en comunidades,Cuidado del medio ambiente,YouTube,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Chihuahua,PARTIDO DIGITAL MX
36,2025-11-13T12:33:19.852040,Femenino,36–45 (votantes activos con experiencia),Casado(a),Posgrado,Votante experimentado en elecciones federales,Innovación tecnológica,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Más tecnología y vigilancia inteligente,Derechos digitales y privacidad,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Veracruz,PARTIDO DIGITAL MX
37,2025-11-13T12:33:19.852045,Otro / Prefiero no decirlo,18–25 (jóvenes votantes primerizos),Unión libre,Secundaria,Nunca he votado pero estoy interesado,Innovación tecnológica,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Prevención y educación en comunidades,Derechos digitales y privacidad,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Puebla,PARTIDO DIGITAL MX
38,2025-11-13T12:33:19.852050,Femenino,46–60 (seguimiento político frecuente),Divorciado(a),Preparatoria / Bachillerato,Votante frecuente en elecciones locales,Ciencia y tecnología,Empatía con la ciudadanía,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Mano dura contra la delincuencia,Innovación tecnológica,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Moderada (centro político),Sinaloa,PARTIDO DIGITAL MX
39,2025-11-13T12:33:19.852055,Masculino,60+ (votantes experimentados de larga trayectoria),Casado(a),Secundaria,Votante experimentado en elecciones federales,Economía y empleo,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Mano dura contra la delincuencia,Infraestructura digital,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Hidalgo,PARTIDO DIGITAL MX
40,2025-11-13T12:33:19.852001,Femenino,46–60 (seguimiento político frecuente),Casado(a),Universidad,Votante frecuente en elecciones locales,Salud y bienestar,Honestidad ante todo,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Protección a las mujeres y familias,Televisión abierta,Sigo noticias políticas con frecuencia,Progresista (enfocado en cambio social),Veracruz,MORENA
41,2025-11-13T12:33:19.852005,Masculino,26–35 (adultos jóvenes con interés político),Soltero(a),Universidad,He votado pocas veces,Economía y empleo,Experiencia política sólida,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Mano dura contra la delincuencia,Infraestructura y transporte,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Moderada (centro político),Jalisco,MORENA
42,2025-11-13T12:33:19.852009,Femenino,18–25 (jóvenes votantes primerizos),Soltero(a),Preparatoria / Bachillerato,Nunca he votado pero estoy interesado,Equidad de género,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Prevención y educación en comunidades,Igualdad de género y derechos humanos,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Ciudad de México,MORENA
43,2025-11-13T12:33:19.852012,Otro / Prefiero no decirlo,36–45 (votantes activos con experiencia),Unión libre,Secundaria,Votante experimentado en elecciones federales,Corrupción y transparencia gubernamental,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Más tecnología y vigilancia inteligente,Derechos digitales y privacidad,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Moderada (centro político),Hidalgo,MORENA
44,2025-11-13T12:33:19.852018,Masculino,60+ (votantes experimentados de larga trayectoria),Viudo(a),Primaria,Votante frecuente en elecciones locales,Seguridad y justicia,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Mano dura contra la delincuencia,Protección a las mujeres y familias,Radio,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Chiapas,MORENA
45,2025-11-13T12:33:19.852020,Femenino,26–35 (adultos jóvenes con interés político),Casado(a),Posgrado,He votado pocas veces,Innovación tecnológica,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Inteligencia policial y análisis de datos,Innovación tecnológica,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Estado de México,MORENA
46,2025-11-13T12:33:19.852025,Masculino,18–25 (jóvenes votantes primerizos),Soltero(a),Secundaria,Nunca he votado pero estoy interesado,Economía y empleo,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Prevención y educación en comunidades,Impulso a pequeñas empresas,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Puebla,MORENA
47,2025-11-13T12:33:19.852028,Femenino,46–60 (seguimiento político frecuente),Casado(a),Preparatoria / Bachillerato,Votante experimentado en elecciones federales,Medio ambiente y sustentabilidad,Carisma y liderazgo,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Cuidado del medio ambiente,Más tecnología y vigilancia inteligente,Igualdad de género y derechos humanos,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Progresista (enfocado en cambio social),Oaxaca,MORENA
48,2025-11-13T12:33:19.852030,Masculino,36–45 (votantes activos con experiencia),Divorciado(a),Universidad,Votante experimentado en elecciones federales,Ciencia y tecnología,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Inteligencia policial y análisis de datos,Derechos digitales y privacidad,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Tamaulipas,MORENA
49,2025-11-13T12:33:19.852033,Otro / Prefiero no decirlo,60+ (votantes experimentados de larga trayectoria),Casado(a),Primaria,Votante frecuente en elecciones locales,Salud y bienestar,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Reformas profundas al sistema de justicia,Salud pública y servicios médicos,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Morelos,MORENA
49,2025-11-13T12:33:19.852401,Femenino,26–35 (adultos jóvenes con interés político),Soltero(a),Universidad,Nunca he votado pero estoy interesado,Medio ambiente y sustentabilidad,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Cuidado del medio ambiente,Prevención y educación en comunidades,Igualdad de género y derechos humanos,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Jalisco,MOVIMIENTO CIUDADANO
50,2025-11-13T12:33:19.852405,Masculino,36–45 (votantes activos con experiencia),Casado(a),Posgrado,Votante experimentado en elecciones federales,Economía y empleo,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Mano dura contra la delincuencia,Infraestructura y transporte,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Nuevo León,PARTIDO ACCIÓN NACIONAL
51,2025-11-13T12:33:19.852409,Femenino,46–60 (seguimiento político frecuente),Casado(a),Universidad,He votado pocas veces,Salud y bienestar,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Protección a las mujeres y familias,Televisión abierta,Sigo noticias políticas con frecuencia,Moderada (centro político),Querétaro,MOVIMIENTO CIUDADANO
52,2025-11-13T12:33:19.852412,Masculino,18–25 (jóvenes votantes primerizos),Soltero(a),Secundaria,Nunca he votado pero estoy interesado,Innovación tecnológica,Experiencia política sólida,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Más tecnología y vigilancia inteligente,Derechos digitales y privacidad,TikTok,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Sonora,PARTIDO ACCIÓN NACIONAL
53,2025-11-13T12:33:19.852416,Femenino,60+ (votantes experimentados de larga trayectoria),Viudo(a),Primaria,Votante frecuente en elecciones locales,Seguridad y justicia,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Mano dura contra la delincuencia,Protección a las mujeres y familias,Radio,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Guanajuato,PARTIDO ACCIÓN NACIONAL
54,2025-11-13T12:33:19.852420,Otro / Prefiero no decirlo,26–35 (adultos jóvenes con interés político),Unión libre,Universidad,Nunca he votado pero estoy interesado,Equidad de género,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Cuidado del medio ambiente,Prevención y educación en comunidades,Igualdad de género y derechos humanos,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Veracruz,MOVIMIENTO CIUDADANO
55,2025-11-13T12:33:19.852424,Masculino,46–60 (seguimiento político frecuente),Casado(a),Preparatoria / Bachillerato,Votante experimentado en elecciones federales,Corrupción y transparencia gubernamental,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Inteligencia policial y análisis de datos,Infraestructura y transporte,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Chihuahua,PARTIDO ACCIÓN NACIONAL
56,2025-11-13T12:33:19.852428,Femenino,18–25 (jóvenes votantes primerizos),Soltero(a),Preparatoria / Bachillerato,Nunca he votado pero estoy interesado,Medio ambiente y sustentabilidad,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Prevención y educación en comunidades,Cuidado del medio ambiente,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Nayarit,MOVIMIENTO CIUDADANO
57,2025-11-13T12:33:19.852431,Masculino,26–35 (adultos jóvenes con interés político),Soltero(a),Universidad,He votado pocas veces,Ciencia y tecnología,Experiencia política sólida,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Mano dura contra la delincuencia,Derechos digitales y privacidad,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Aguascalientes,PARTIDO ACCIÓN NACIONAL
58,2025-11-13T12:33:19.852435,Femenino,36–45 (votantes activos con experiencia),Divorciado(a),Universidad,Votante experimentado en elecciones federales,Salud y bienestar,Empatía con la ciudadanía,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Protección a las mujeres y familias,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Moderada (centro político),Colima,MOVIMIENTO CIUDADANO
59,2025-11-13T12:33:19.852438,Otro / Prefiero no decirlo,60+ (votantes experimentados de larga trayectoria),Casado(a),Primaria,Votante frecuente en elecciones locales,Economía y empleo,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Mano dura contra la delincuencia,Impulso a pequeñas empresas,Televisión abierta,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Durango,PARTIDO ACCIÓN NACIONAL
60,2025-11-13T12:33:19.852442,Masculino,46–60 (seguimiento político frecuente),Casado(a),Posgrado,Votante experimentado en elecciones federales,Ciencia y tecnología,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Inteligencia policial y análisis de datos,Innovación tecnológica,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Baja California,MOVIMIENTO CIUDADANO
61,2025-11-13T12:33:19.852445,Femenino,26–35 (adultos jóvenes con interés político),Unión libre,Secundaria,He votado pocas veces,Seguridad y justicia,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Mano dura contra la delincuencia,Protección a las mujeres y familias,Redes sociales (TikTok, Facebook, Instagram),No tengo mucho conocimiento político,Moderada (centro político),Tamaulipas,PARTIDO ACCIÓN NACIONAL
62,2025-11-13T12:33:19.852449,Masculino,18–25 (jóvenes votantes primerizos),Soltero(a),Secundaria,Nunca he votado pero estoy interesado,Medio ambiente y sustentabilidad,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Cuidado del medio ambiente,Prevención y educación en comunidades,Igualdad de género y derechos humanos,TikTok,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Morelos,MOVIMIENTO CIUDADANO
63,2025-11-13T12:33:19.852452,Femenino,60+ (votantes experimentados de larga trayectoria),Casado(a),Primaria,Votante frecuente en elecciones locales,Salud y bienestar,Honestidad ante todo,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Reformas profundas al sistema de justicia,Salud pública y servicios médicos,Radio,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Jalisco,PARTIDO ACCIÓN NACIONAL
64,2025-11-13T12:33:19.852456,Masculino,26–35 (adultos jóvenes con interés político),Casado(a),Preparatoria / Bachillerato,He votado pocas veces,Economía y empleo,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Prevención y educación en comunidades,Impulso a pequeñas empresas,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Yucatán,MOVIMIENTO CIUDADANO
65,2025-11-13T12:33:19.852459,Femenino,46–60 (seguimiento político frecuente),Viudo(a),Universidad,Votante experimentado en elecciones federales,Ciencia y tecnología,Experiencia política sólida,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor inversión en ciencia y tecnología,Mano dura contra la delincuencia,Derechos digitales y privacidad,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Tlaxcala,PARTIDO ACCIÓN NACIONAL
